Stock,#,Oil & Gas Stocks,Robotics Stocks,Gold Bullion,Paper Stocks,Utility Stocks,Auto Stocks,Airline Stocks,,Mutual Funds,Diamond Trade,Commodities Trade (Grain),Security Bonds,Silver Trade,Certificate Of Deposit,Money Market
Stock,17,$98,$599,"$1,332",$37,"$1,393",$33,$39,,$48,$178,$391,$4,$20,0.90%,0.70%
KPI,Population,Pop Chg,GDP,GDP Chg,CPI,Unemployment Rate,Poverty Rate,Income Inequality,Wealth Inequality,,,,,,,
KPI,500000,0,"1,000,000",0,100,5,10,0.4,0.6,,,,,,,
LC,#,Description of Event,Amount,,,,,,,,,,,,,
LC,1, Scholarship Funding,"$16,000",,,,,,,,,,,,,
LC,2, Work Study grant,"$8,000",,,,,,,,,,,,,
LC,3, Loan Payment due,"-$8,000",,,,,,,,,,,,,
LC,4, Student grant,"$1,000",,,,,,,,,,,,,
LC,5, School Tuition costs,"-$8,000",,,,,,,,,,,,,
LC,6, Dormatory Fees,"-$2,000",,,,,,,,,,,,,
LC,7, Student Loan,"$1,000",,,,,,,,,,,,,
LC,8, Apartment costs,"-$1,800",,,,,,,,,,,,,
LC,9,Summer work,"$2,500",,,,,,,,,,,,,
LC,10, Book tuition,"-$1,000",,,,,,,,,,,,,
LC,11, Travel costs,"-$1,200",,,,,,,,,,,,,
LC,12, Special aid,$800,,,,,,,,,,,,,
LC,13, Evening work pay,$500,,,,,,,,,,,,,
JC,#,Description of Event,Amount,,,,,,,,,,,,,
JC,1,Loss Job with severance due to budget cut,"$16,000",,,,,,,,,,,,,
JC,2,Salary garnish for child support,-$600,,,,,,,,,,,,,
JC,3,Loss job due to firing,$0,,,,,,,,,,,,,
JC,4,Travel expense,"-$1,000",,,,,,,,,,,,,
JC,5,Budget cut - last salary increase is revoked,$0,,,,,,,,,,,,,
JC,6,Salary raise,"$3,200",,,,,,,,,,,,,
JC,7,Travel allowance,"$1,000",,,,,,,,,,,,,
JC,8,Time for a job review,$0,,,,,,,,,,,,,
JC,9,Tax Refund ,"$3,000",,,,,,,,,,,,,
JC,10,Food expense,-$500,,,,,,,,,,,,,
JC,11,Hazard pay,"$7,000",,,,,,,,,,,,,
JC,12,Time for a salary review,$0,,,,,,,,,,,,,
JC,13,Income Taxes,"-$1,350",,,,,,,,,,,,,
JC,14,Annual Benefits,"$1,500",,,,,,,,,,,,,
JC,15,Salary Bonus,"$5,500",,,,,,,,,,,,,
JC,16,Gross annual increase,"$10,500",,,,,,,,,,,,,
JC,17,Demotion requested by management - 1 level,$0,,,,,,,,,,,,,
SC,#,Description of Event,Count,,,,,,,,,,,,,
SC,1,Money Market Shares,1000,,,,,,,,,,,,,
SC,2,Certificate of Deposit Shares,3000,,,,,,,,,,,,,
SC,3,Silver Trade Shares,1200,,,,,,,,,,,,,
SC,4,Oil Stock Loss,-1000,,,,,,,,,,,,,
SC,5,Security Bonds,500,,,,,,,,,,,,,
SC,6,Stock Loss,-500,,,,,,,,,,,,,
SC,7,Commodities Trade Shares,600,,,,,,,,,,,,,
SC,8,Diamond Investment Loss,-2500,,,,,,,,,,,,,
SC,9,Diamond Shares,1500,,,,,,,,,,,,,
SC,10,CD Investment Loss,-200,,,,,,,,,,,,,
SC,11,Mutual Funds,5000,,,,,,,,,,,,,
SC,12,Oil Stock Shares,500,,,,,,,,,,,,,
SC,13,Silver Trade Loss,-200,,,,,,,,,,,,,
SC,14,Stock split request,2,,,,,,,,,,,,,
LC2,#,Description of Event,Amount,,,,,,,,,,,,,
LC2,1,Recent Inheritance,"$30,000",,,,,,,,,,,,,
LC2,2,Win Sweepstakes,"$25,000",,,,,,,,,,,,,
LC2,3,Property Taxes,"-$5,000",,,,,,,,,,,,,
LC2,4,Tax Refund,"$1,000",,,,,,,,,,,,,
LC2,5,Lost $100 bill,-$100,,,,,,,,,,,,,
LC2,6,Insurance claim,"$3,000",,,,,,,,,,,,,
LC2,7,Lawsuit claim,"$5,000",,,,,,,,,,,,,
LC2,8,Wedding gifts,"$2,500",,,,,,,,,,,,,
LC2,9,Traffic ticket,-$500,,,,,,,,,,,,,
LC2,10,Tax Payment,"-$1,500",,,,,,,,,,,,,
LC2,11,Car Payment,-$500,,,,,,,,,,,,,
LC2,12,House sale profit,"$55,000",,,,,,,,,,,,,
LC2,13,Tax Over-payment,"$2,200",,,,,,,,,,,,,
REV,#,"Stock Split
(Added)","HR Review
(Salary Increase)","College
(Degrees)","Mgmt Review
(Promotions)",Index Control,Pay,,,,,,,,,
REV,0,0,0,0,No Promotion,0,"$25,000",,,,,,,,,
REV,1,1,1,1,Job Assistant,1 up,"$50,000",,,,,,,,,
REV,2,2,2,2,Exec Assistant,1 dn,"$60,000",,,,,,,,,
REV,3,3,3,3,Jr Professional,0,"$80,000",,,,,,,,,
REV,4,4,4,4,Sr Professional,,"$90,000",,,,,,,,,
REV,5,5,5,5,Consultant,,"$100,000",,,,,,,,,
REV,6,6,6,6,Sr Consultant,,"$110,000",,,,,,,,,
REV,7,7,7,7,Supervisor,,"$125,000",,,,,,,,,
REV,8,8,8,8,Manager,,"$150,000",,,,,,,,,
REV,9,9,9,9,Director,,"$200,000",,,,,,,,,
REV,10,-1,-1,-1,Demotion 1 Level,,"-$6,000",,,,,,,,,
BUS,#,District,Business,Buy,Partner,Club,Value,,,,,,,,,
BUS,1,Entertainment,Amuze Park,"$70,000","$35,000","$7,000",$100,,,,,,,,,
BUS,2,Entertainment,Vacaion Resort,"$60,000","$30,000","$6,000",$50,,,,,,,,,
BUS,3,Entertainment,Rest & Recreation Park,"$50,000","$25,000","$5,000",$45,,,,,,,,,
BUS,4,Entertainment,Pizza Place,"$30,000","$15,000","$3,000",$10,,,,,,,,,
