code,id,type,short_description,long_description,amount,count,product,COH,investment_insert,invest_count,insurance_flag
BC,1,inc,Mortgage Loan,You qualify for a nice house loan. Hope this helps you.,100000,1000,LOAN,100000,Y,1000, 
BC,2,inc,Signature Loan,This loan should help you for now.,50000,1000,LOAN,50000,Y,1000, 
BC,3,exp,Insurance Policy,This insurance policy will help reduce your insurance coverage.,-4000,1,INS,-4000,Y,0,OFF
BC,4,inc,Banker Sale,I need some properties. I am willing to pay a handsome price.,500000,0,PPTY,500000,Remove,0, 
BC,5,inc,Buy Out,Let me take those stocks off your hand.,50000,0,STCK,50000,Remove,0, 
BC,6,inc,Mortgage Loan,You qualify for a nice house loan. Hope this helps you.,100000,1000,LOAN,100000,Y,1000, 
BC,7,inc,Signature Loan,This loan should help you for now.,10000,1000,LOAN,10000,Y,1000, 
BC,8,exp,Insurance Policy,This insurance policy will help reduce your insurance coverage.,-4000,1,INS,-4000, ,0,OFF
BC,9,inc,Banker Sale,I need some properties. I am willing to pay a handsome price.,500000,0,PPTY,500000,Remove,0, 
BC,10,inc,Buy Out,Let me take those stocks off your hand.,50000,0,STCK,50000,Remove,0, 
BC,11,inc,Mortgage Loan,You qualify for a nice house loan. Hope this helps you.,100000,1000,LOAN,100000,Y,1000, 
BC,12,inc,Signature Loan,This loan should help you for now.,10000,1000,LOAN,10000,Y,1000, 
BC,13,exp,Insurance Policy,This insurance policy will help reduce your insurance coverage.,-4000,1,INS,-4000, ,0,OFF
BC,14,inc,Banker Sale,I need some properties. I am willing to pay a handsome price.,500000,0,PPTY,500000,Remove,0, 
BC,15,inc,Buy Out,Let me take those stocks off your hand.,50000,0,STCK,50000,Remove,0, 
BC,16,inc,Mortgage Loan,You qualify for a nice house loan. Hope this helps you.,100000,1000,LOAN,100000,Y,1000, 
BC,17,inc,Signature Loan,This loan should help you for now.,10000,1000,LOAN,10000,Y,1000, 
BC,18,exp,Insurance Policy,This insurance policy will help reduce your insurance coverage.,-4000,1,INS,-4000, ,0,OFF
BC,19,inc,Banker Sale,I need some properties. I am willing to pay a handsome price.,500000,0,PPTY,500000,Remove,0, 
BC,20,inc,Buy Out,Let me take those stocks off your hand.,50000,0,STCK,50000,Remove,0, 
BC,21,inc,Mortgage Loan,You qualify for a nice house loan. Hope this helps you.,100000,1000,LOAN,100000,Y,1000, 
BC,22,inc,Signature Loan,This loan should help you for now.,70000,1000,LOAN,70000,Y,1000, 
BC,23,exp,Insurance Policy,This insurance policy will help reduce your insurance coverage.,-4000,1,INS,-4000, ,0,OFF
BC,24,inc,Banker Sale,I need some properties. I am willing to pay a handsome price.,1500000,0,PPTY,1500000,Remove,0, 
BC,25,inc,Buy Out,Let me take those stocks off your hand.,50000,0,STCK,50000,Remove,0, 
BC,26,inc,Mortgage Loan,You qualify for a nice house loan. Hope this helps you.,100000,1000,LOAN,100000,Y,1000, 
BC,27,inc,Signature Loan,This loan should help you for now.,10000,1000,LOAN,10000,Y,1000, 
BC,28,exp,Insurance Policy,This insurance policy will help reduce your insurance coverage.,-4000,1,INS,-4000, ,0,OFF
BC,29,inc,Banker Sale,On the lookout for several businesses. I am willing to pay a handsome price.,5000000,0,BUS,5000000,Remove,0, 
BC,30,inc,Buy Out,Let me take those stocks off your hand.,50000,0,STCK,50000,Remove,0, 
BC,31,inc,Mortgage Loan,You qualify for a nice house loan. Hope this helps you.,100000,1000,LOAN,100000,Y,1000, 
BC,32,inc,Signature Loan,This loan should help you for now.,10000,1000,LOAN,10000,Y,1000, 
BC,33,exp,Insurance Policy,This insurance policy will help reduce your insurance coverage.,-4000,1,INS,-4000, ,0,OFF
BC,34,inc,Banker Sale,I need some properties. I am willing to pay a handsome price.,500000,0,PPTY,500000,Remove,0, 
BC,35,inc,Buy Out,Let me take those stocks off your hand.,50000,0,STCK,50000,Remove,0, 
BC,36,inc,Mortgage Loan,You qualify for a nice house loan. Hope this helps you.,100000,1000,LOAN,100000,Y,1000, 
BC,37,inc,Signature Loan,This loan should help you for now.,10000,1000,LOAN,10000,Y,1000, 
BC,38,exp,Insurance Policy,This insurance policy will help reduce your insurance coverage.,-4000,0,INS,-4000, ,0,OFF
BC,39,inc,Banker Sale,I need some properties. I am willing to pay a handsome price.,500000,0,PPTY,500000,Remove,0, 
BC,40,inc,Buy Out,Let me take those stocks off your hand.,50000,0,STCK,50000,Remove,0, 
BC,41,inc,Mortgage Loan,You qualify for a nice house loan. Hope this helps you.,100000,1000,LOAN,100000,Y,1000, 
BC,42,inc,Signature Loan,This loan should help you for now.,10000,1000,LOAN,10000,Y,1000, 
BC,43,exp,Insurance Policy,This insurance policy will help reduce your insurance coverage.,-4000,1,INS,-4000, ,0,OFF
BC,44,inc,Banker Sale,I need some properties. I am willing to pay a handsome price.,500000,0,PPTY,500000,Remove,0, 
BC,45,inc,Buy Out,Let me take those stocks off your hand.,50000,0,STCK,50000,Remove,0, 
BC,46,inc,Mortgage Loan,You qualify for a nice house loan. Hope this helps you.,100000,1000,LOAN,100000,Y,1000, 
BC,47,inc,Signature Loan,This loan should help you for now.,10000,1000,LOAN,10000,Y,1000, 
BC,48,exp,Insurance Policy,This insurance policy will help reduce your insurance coverage.,-5000,1,INS,-5000, ,0,OFF
BC,49,inc,Banker Sale,I need some properties. I am willing to pay a handsome price.,15000,0,PPTY,15000,Remove,0, 
BC,50,inc,Buy Out,Let me take those stocks off your hand.,50000,0,STCK,50000,Remove,0, 
