col_name,value
destination, Chicago
custom1, "Traveling and staying in Chicago is always great. The city is filled with things to do. The scenery, The people. The night life. Wonderful!"
trip, "This was even more than anyone expected. Seeing the Great Lakes and the Mississippi River as we landed at the huge airport."
sights, "While there we visited the Millennium Park and the Art Institute of Chicago. We got to see the bears play too!"
events, "As if that was not enough, we purchased some tickets for Lollapalooza Rock Festival, and then we could not miss the Chicago Air & Water Show."
people, "We spent some time at the Gold coast to set our eyes on Chance the Rapper and Oprah Winfrey."
custom2, "It left us with many things to remember, and I cannot forget the Bean. You will know what I mean when you get over there. We enjoyed it. Get some rest before you go."
destination, Grand Canyon National Park
custom1, "A five-day trip to the Grand Canyon really gave us an appreciation for the nuances of the Grand Canyon's natural beauty."
trip, "Whether you see the Rocky Mountains and Hoover Dam as you fly in or take the time to visit, it is worth seeing. Nothing like it!"
sights, "Of course we had time to eat some fabulaous food and visit the South Rim and Havasu Falls. The hike to the falls is 10 miles long and steep. What a challenge!"
events, "After some rest we visited the night time Star Party events to see the stars and during the day some Ranger Programs, like geological education." 
people, "Outdoor enthusiast can always meet up with celebs like Bighorn sheep, Mule deer, and Bison. Oh, and then Bear Grylls is good for  an adventure or two."
custom2, "By the time we were ready to leave. We needed the opportunity to recover. It was more than a visit. It was a challenge to the body. Well worth the time away from home."
destination, Yellowstone National Park
custom1, "The park is immense (nearly 3,500 square miles of territory) with five entrances, and there was a lot for us to see."
trip, "As we flew into the area we saw the Grand Teton and Snake River. People were fishing, rafting, and of course you could see wildlife."
sights, "Of course, there was more. While we were there we visited places like the Old Faithful and Yellowstone Lake."
events, "For those who have time there is much wildlife watching to do, and then there are several guided tours that make the experiences special. There was no shortage of things to keep us busy."
people, "The people who work at the park are knowledgeable naturalists and good presenters like David Attenborough. I just want to mention him. Just to drop a name."
custom2, "Though we were busy seeing what the park had to offer, there is much we could do again and still more to see on another visit - time well spent."
destination, Las Vegas
custom1, "We learned that travelling to this city is a way to enjoy the thrills of night life performances, all day casinos, nearby outdoor activities, or walking and riding around town. "
trip, "as you come into the city by plane, you have an opportunity to see the Mojave Desert and all its splendor along with the Hoover Dam, the sight of great electric power."
sights, "After arrival one of the best day or night experiences are walking the Strip to see and experience miles of casinos, and spending time on Fremont Street for free entertainment and places to eat."
events, "We were fortunate to have time and money to see the Cirque du Soleil shows and EDC Las Vegas. Most people know abut Cirque du Soliel, but we had a chance to experience the Electric Daisy Carnival, which showcases DJs and carnival entertainment at its best."
people, "To round out the vacation we had a chance to see Celine Dion and Wayne Newton do what they do best. They put on excellent performances. I must say it was an unforgettable vacation."
custom2, "Today, Las Vegas can provide any kind of vacation you can imagine. If you don't like casinos with all-nighters. You can make Vegas all about luxury with visits to spas, high-end boutiques, museums, and gourmet restaurants."
destination, Washington DC
custom1, "We were fortunate to visit DC when the famous cherry blossoms were in bloom. We were told they originated from Japan as a gift. What a beautiful sight to see flying into the city."
trip, "And speaking of flying in, we saw the Chesapeake Bay and Potomac River as the plane came in for a landing. What a sight to see and take a few pictures.
sights, "During our stay there we took some time to vist several government buildings and memorable sights like The National Mall and the Smithsonian Museums. 
events, "Of course, the National Cherry Blossom Festival event was happening. There were so many monuments, galleries and museums in DC it became overwhelming. But a bus tour made it more relaxing so we could see more without getting worn out. 
people, "This was a place that Politicians and well-known journalists like Wolf Blitzer were not hard to see going in and out of the many government buildings.
custom2, "We are glad we had time to take in the sights along the National Mall. Transpotation around town is made easy with the Metrobus, Amtrak, and the water taxis. We highly recommend a vacation in DC."
destination, San Diego
custom1, "San Diego is a popular vacation destination with a mild climate, beautiful beaches. The combination of good weather and beaches is good for those who like sun and water."
trip, "As we approached the airport for landing there was much water to see. That is the Pacific Ocean water and the land called the Baja Peninsula."
sights, "During our stay we visited several places of interest, especially Balboa Park and the San Diego Zoo. We heard about there zoo and found it to be everything people said about it. The zoo is fun with thousands of animals to see. It is the kind of place people return to given the chance."
events, "We weren't expecting it but we had a chance to visit Comic-Con and the San Diego County Fair. You talk about festivities and amusements. This was worth every penny."
people, "Our festivities did not end there. We made it to Seaworld and saw some whales. These animals are huge.and exciting to watch how they maneuver in water."
custom2, "The family enkoyed the chance to visit. The sun, the stars, and the beautiful beaches was something to remember for years to come."
destination, Charleston
custom1, "As a contract Test analyst, I made many trips through Charleston, but never stayed overnight to see the town. This vacation was a great opportunity to see the sights."
trip, "Flying into the city gave us a great view of the Atlantic Ocean and the Coastal Marshlands. The trip was not long and tiring, so we were ready to take the city by storm."
sights, "We were staying at a resort near the city downtown area so we headed to the Historic Downtown area with its remarkable history and eclectic mix of fashion, art, antiques, home décor, and extraordinary food on and around King Street. The following day we spent time at Fort Sumter. It is a sea fort built on an artificial island near Charleston. It was built to defend the region from a naval invasion." 
events, "We also had a chance to go to the Spoleto Festival USA and the Charleston Wine + Food Festival. These festivals were wonderful. If you have never been to a performaing arts festival Charleston has the one. And if you want to taste a variety of good wines and have a good time. Come get ready to drink and eat."
people, "Charleston is renowned for its cobblestone streets, centuries-old architecture, and vibrant culinary scene. We did not know its charm until we got to King street. Good people."
